TIME(s)	'pip2,ap2'	'ap2,clat'	'clat,clat'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
6.555	162	1	9	0	0	0	0	0	0	0	1667
6.57	162	1	7	0	0	0	0	0	0	0	1669
6.585	163	1	7	0	0	0	0	0	0	0	1673
6.6	165	1	7	0	0	0	0	0	0	0	1675
6.615	164	1	8	0	0	0	0	0	0	0	1677
6.63	163	1	5	0	0	0	0	0	0	0	1680
6.645	163	1	6	0	0	0	0	0	0	0	1685
6.66	163	1	8	0	0	0	0	0	0	0	1689
6.675	163	1	9	0	0	0	0	0	0	0	1693
6.69	163	1	10	0	0	0	0	0	0	0	1694
6.705	162	1	7	0	0	0	0	0	0	0	1697
6.72	161	1	6	0	0	0	0	0	0	0	1698
6.735	164	1	6	0	0	0	0	0	0	0	1704
6.75	164	1	5	0	0	0	0	0	0	0	1708
6.765	164	1	5	0	0	0	0	0	0	0	1711
6.78	164	1	5	0	0	0	0	0	0	0	1712
6.795	160	1	5	0	0	0	0	0	0	0	1714
6.81	158	1	5	0	0	0	0	0	0	0	1717
6.825	161	1	7	0	0	0	0	0	0	0	1722
6.84	163	1	10	0	0	0	0	0	0	0	1728
6.855	161	1	8	0	0	0	0	0	0	0	1731
6.87	163	1	9	0	0	0	0	0	0	0	1734
6.885	162	1	9	0	0	0	0	0	0	0	1736
6.9	161	1	10	0	0	0	0	0	0	0	1740
6.915	157	1	6	0	0	0	0	0	0	0	1740
6.93	158	1	9	0	0	0	0	0	0	0	1747
6.945	157	1	9	0	0	0	0	0	0	0	1750
6.96	158	1	8	0	0	0	0	0	0	0	1753
6.975	160	1	9	0	0	0	0	0	0	0	1759
6.99	160	1	10	0	0	0	0	0	0	0	1765
7.005	163	1	11	0	0	0	0	0	0	0	1772
7.02	162	1	10	0	0	0	0	0	0	0	1773
7.035	160	1	10	0	0	0	0	0	0	0	1773
7.05	165	1	10	0	0	0	0	0	0	0	1782
7.065	162	1	7	0	0	0	0	0	0	0	1785
7.08	163	1	7	0	0	0	0	0	0	0	1789
7.095	164	1	9	0	0	0	0	0	0	0	1793
7.11	163	1	9	0	0	0	0	0	0	0	1796
7.125	162	1	8	0	0	0	0	0	0	0	1797
7.14	163	1	7	0	0	0	0	0	0	0	1800
7.155	164	1	5	0	0	0	0	0	0	0	1801
7.17	163	1	4	0	0	0	0	0	0	0	1803
7.185	164	1	4	0	0	0	0	0	0	0	1807
7.2	166	1	6	0	0	0	0	0	0	0	1813
7.215	165	1	7	0	0	0	0	0	0	0	1816
7.23	165	1	8	0	0	0	0	0	0	0	1823
7.245	165	1	6	0	0	0	0	0	0	0	1825
7.26	166	1	7	0	0	0	0	0	0	0	1829
7.275	167	1	7	0	0	0	0	0	0	0	1831
7.29	167	1	7	0	0	0	0	0	0	0	1834
7.305	167	1	8	0	0	0	0	0	0	0	1836
7.32	168	1	8	0	0	0	0	0	0	0	1838
7.335	164	1	7	0	0	0	0	0	0	0	1838
7.35	158	1	8	0	0	0	0	0	0	0	1840
7.365	161	1	7	0	0	0	0	0	0	0	1846
7.38	162	1	7	0	0	0	0	0	0	0	1850
7.395	160	1	10	0	0	0	0	0	0	0	1854
7.41	161	1	11	0	0	0	0	0	0	0	1860
7.425	164	1	11	0	0	0	0	0	0	0	1866
7.44	160	1	10	0	0	0	0	0	0	0	1868
7.455	159	1	11	0	0	0	0	0	0	0	1872
7.47	163	1	11	0	0	0	0	0	0	0	1881
7.485	163	1	8	0	0	0	0	0	0	0	1881
7.5	162	1	5	0	0	0	0	0	0	0	1881
7.515	162	1	5	0	0	0	0	0	0	0	1884
7.53	162	1	5	0	0	0	0	0	0	0	1886
7.545	160	1	6	0	0	0	0	0	0	0	1888
