TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.402	108	185	112	226	300	2	0	0	0	0	182
0.403	108	185	112	226	300	2	0	0	0	0	182
0.404	108	185	112	226	300	2	0	0	0	0	182
0.405	108	185	112	226	301	2	0	0	0	0	182
0.406	108	185	112	226	302	2	0	0	0	0	182
0.407	108	185	112	226	302	2	0	0	0	0	182
0.408	108	185	112	226	302	2	0	0	0	0	182
0.409	108	185	112	226	302	2	0	0	0	0	182
0.41	108	185	112	226	302	2	0	0	0	0	182
0.411	108	185	112	226	302	2	0	0	0	0	182
0.412	108	185	112	226	302	2	0	0	0	0	182
0.413	108	185	112	226	302	2	0	0	0	0	182
0.414	108	185	112	226	302	2	0	0	0	0	182
0.415	108	185	112	226	304	2	0	0	0	0	182
0.416	108	185	112	226	306	2	0	0	0	0	182
0.417	108	185	112	226	307	2	0	0	0	0	182
0.418	108	185	112	226	310	2	0	0	0	0	182
0.419	108	185	112	226	310	2	0	0	0	0	182
0.42	108	185	112	226	311	2	0	0	0	0	182
0.421	108	185	112	226	312	2	0	0	0	0	182
0.422	108	185	112	226	312	2	0	0	0	0	182
0.423	108	185	112	226	312	2	0	0	0	0	182
0.424	108	185	112	226	312	2	0	0	0	0	182
0.425	108	185	112	226	312	2	0	0	0	0	182
0.426	108	185	112	226	314	2	0	0	0	0	182
0.427	108	185	112	226	314	2	0	0	0	0	182
0.428	108	185	112	226	314	2	0	0	0	0	182
0.429	108	185	112	226	315	2	0	0	0	0	182
0.43	108	185	112	226	315	2	0	0	0	0	182
0.431	108	185	112	226	315	2	0	0	0	0	182
0.432	108	185	112	226	315	2	0	0	0	0	182
0.433	108	185	112	226	315	2	0	0	0	0	182
0.434	108	185	112	226	317	2	0	0	0	0	182
0.435	108	185	112	226	317	2	0	0	0	0	182
0.436	108	185	112	226	317	2	0	0	0	0	182
0.437	108	185	112	226	317	2	0	0	0	0	182
0.438	108	185	112	226	318	2	0	0	0	0	182
0.439	108	185	112	226	319	2	0	0	0	0	182
0.44	108	185	112	226	320	2	0	0	0	0	182
0.441	108	185	112	226	321	2	0	0	0	0	182
0.442	108	185	112	226	321	2	0	0	0	0	182
0.443	108	185	112	226	321	2	0	0	0	0	182
0.444	108	185	112	226	321	2	0	0	0	0	182
0.445	108	185	112	226	321	2	0	0	0	0	182
0.446	108	185	112	226	321	2	0	0	0	0	182
0.447	108	185	112	226	321	2	0	0	0	0	182
0.448	108	185	112	226	321	2	0	0	0	0	182
0.449	108	185	112	226	323	2	0	0	0	0	182
0.45	108	185	112	226	324	2	0	0	0	0	182
0.451	108	185	112	226	324	2	0	0	0	0	182
0.452	108	185	112	226	325	2	0	0	0	0	182
0.453	108	185	112	226	326	2	0	0	0	0	182
0.454	108	185	112	226	327	2	0	0	0	0	182
0.455	108	185	112	226	328	2	0	0	0	0	182
0.456	108	185	112	226	329	2	0	0	0	0	182
0.457	108	185	112	226	329	2	0	0	0	0	182
0.458	108	185	112	226	329	2	0	0	0	0	182
0.459	108	185	112	226	329	2	0	0	0	0	182
0.46	108	185	112	226	330	2	0	0	0	0	182
0.461	108	185	112	226	330	2	0	0	0	0	182
0.462	108	185	112	226	330	2	0	0	0	0	182
0.463	108	185	112	226	330	2	0	0	0	0	182
0.464	108	185	112	226	331	2	0	0	0	0	182
0.465	108	185	112	226	331	2	0	0	0	0	182
0.466	108	185	112	226	332	2	0	0	0	0	182
0.467	108	185	112	226	332	2	0	0	0	0	182
0.468	108	185	112	226	332	2	0	0	0	0	182
0.469	108	185	112	226	333	2	0	0	0	0	182
0.47	108	185	112	226	334	2	0	0	0	0	182
0.471	108	185	112	226	335	2	0	0	0	0	182
0.472	108	185	112	226	336	2	0	0	0	0	182
0.473	108	185	112	226	337	2	0	0	0	0	182
0.474	108	185	112	226	337	2	0	0	0	0	182
0.475	108	185	112	226	337	2	0	0	0	0	182
0.476	108	185	112	226	337	2	0	0	0	0	182
0.477	108	185	112	226	337	2	0	0	0	0	182
0.478	108	185	112	226	337	2	0	0	0	0	182
0.479	108	185	112	226	339	2	0	0	0	0	182
0.48	108	185	112	226	340	2	0	0	0	0	182
0.481	108	185	112	226	340	2	0	0	0	0	182
0.482	108	185	112	226	340	2	0	0	0	0	182
0.483	108	185	112	226	340	2	0	0	0	0	182
0.484	108	185	112	226	340	2	0	0	0	0	182
0.485	108	185	112	226	340	2	0	0	0	0	182
0.486	108	185	112	226	341	2	0	0	0	0	182
0.487	108	185	112	226	342	2	0	0	0	0	182
0.488	108	185	112	226	342	2	0	0	0	0	182
0.489	108	185	112	226	343	2	0	0	0	0	182
0.49	108	185	112	226	343	2	0	0	0	0	182
0.491	108	185	112	226	343	2	0	0	0	0	182
0.492	108	185	112	226	343	2	0	0	0	0	182
0.493	108	185	112	226	343	2	0	0	0	0	182
0.494	108	185	112	226	344	2	0	0	0	0	182
0.495	108	185	112	226	345	2	0	0	0	0	182
0.496	108	185	112	226	346	2	0	0	0	0	182
0.497	108	185	112	226	347	2	0	0	0	0	182
0.498	108	185	112	226	347	2	0	0	0	0	182
0.499	108	185	112	226	347	2	0	0	0	0	182
0.5	108	185	112	226	347	2	0	0	0	0	182
0.501	108	185	112	226	348	2	0	0	0	0	182
0.502	108	185	112	226	348	2	0	0	0	0	182
0.503	108	185	112	226	348	2	0	0	0	0	182
0.504	108	185	112	226	349	2	0	0	0	0	182
0.505	108	185	112	226	349	2	0	0	0	0	182
0.506	108	185	112	226	349	2	0	0	0	0	182
