Time (s),ap2Mem,leg
20.22,162,7
20.235,162,5
20.25,163,6
20.265,163,6
20.28,164,6
20.295,165,9
20.31,165,9
20.325,165,9
20.34,164,13
20.355,164,13
20.37,160,14
20.385,163,14
20.4,162,14
20.415,162,12
20.43,165,11
20.445,164,11
20.46,164,12
20.475,164,13
20.49,165,15
20.505,167,16
20.52,167,17
20.535,167,17
20.55,165,15
20.565,165,12
20.58,167,12
20.595,168,13
20.61,167,15
20.625,166,15
20.64,161,16
20.655,162,15
20.67,159,13
20.685,161,15
20.7,161,15
20.715,160,14
20.73,162,15
20.745,158,12
20.76,162,12
20.775,163,13
20.79,164,14
20.805,163,11
20.82,162,12
20.835,161,13
20.85,160,12
20.865,161,10
20.88,162,9
20.895,164,10
20.91,166,8
20.925,164,11
20.94,163,13
20.955,162,12
20.97,161,12
20.985,162,12
21,160,15
21.015,166,15
21.03,162,14
21.045,158,17
21.06,159,15
21.075,162,16
21.09,160,14
21.105,158,14
21.12,152,14
21.135,148,14
21.15,148,12
21.165,149,13
21.18,150,15
21.195,148,18
21.21,151,18
21.225,150,15
21.24,150,16
21.255,152,16
21.27,150,18
21.285,151,18
21.3,154,18
21.315,152,18
21.33,151,16
21.345,153,15
21.36,153,15
21.375,151,12
21.39,154,11
21.405,154,14
21.42,153,13
21.435,151,12
21.45,151,12
21.465,153,12
21.48,152,10
21.495,154,10
21.51,155,11
21.525,156,11
21.54,156,11
21.555,154,11
21.57,154,9
21.585,156,9
21.6,157,8
21.615,157,9
21.63,157,7
21.645,159,7
21.66,158,8
21.675,157,8
21.69,162,10
21.705,162,14
21.72,158,14
21.735,157,15
21.75,157,15
21.765,158,16
21.78,160,13
21.795,158,11
21.81,157,9
21.825,161,10
21.84,161,10
21.855,157,10
21.87,157,10
21.885,156,9
21.9,156,9
21.915,155,13
21.93,157,10
21.945,158,10
21.96,158,12
21.975,158,15
21.99,158,13
22.005,157,15
22.02,157,15
22.035,156,12
22.05,156,11
22.065,157,12
22.08,155,9
22.095,158,13
22.11,160,11
22.125,158,11
22.14,162,10
22.155,162,11
22.17,160,9
22.185,159,8
22.2,163,11
22.215,159,9
22.23,155,11
22.245,159,12
22.26,161,15
22.275,161,12
22.29,160,12
22.305,159,15
22.32,158,15
22.335,160,14
22.35,162,14
22.365,160,13
22.38,158,14
22.395,156,10
22.41,156,9
22.425,158,11
22.44,157,10
22.455,157,10
22.47,156,5
22.485,157,6
22.5,156,8
22.515,155,7
22.53,155,9
22.545,156,9
22.56,157,10
22.575,162,7
22.59,160,7
22.605,161,6
22.62,156,7
22.635,159,8
22.65,157,9
22.665,158,9
22.68,156,8
22.695,156,12
22.71,156,16
22.725,157,14
22.74,155,12
22.755,154,12
22.77,156,12
22.785,157,14
22.8,155,13
22.815,154,11
22.83,154,12
22.845,156,10
22.86,155,11
22.875,155,13
22.89,158,14
22.905,163,13
22.92,161,11
22.935,162,12
22.95,160,12
22.965,160,9
22.98,160,12
22.995,160,13
23.01,161,14
23.025,160,13
23.04,159,13
23.055,159,11
23.07,158,12
